id;count;total_time;CPU;LPM;DeepLPM;Radio_TX;Radio_RX;Radio_Total
2;0;1966010;1128;1964882;0;29;1965980;1966009
6;0;1966013;3571;1962442;0;547;1965457;1966004
4;0;1966012;4149;1961863;0;658;1965343;1966001
1;0;1966010;4380;1961630;0;759;1965241;1966000
7;0;1966010;1172;1964838;0;57;1965950;1966007
5;0;1966012;6261;1959751;0;915;1965083;1965998
3;0;1966012;1885;1964127;0;164;1965842;1966006
2;1;1966082;9927;1956155;0;1438;1964623;1966061
6;1;1966078;8561;1957517;0;1044;1965023;1966067
4;1;1966079;5757;1960322;0;678;1965400;1966078
1;1;1966080;6819;1959261;0;706;1965363;1966069
7;1;1966082;5825;1960257;0;892;1965176;1966068
5;1;1966079;6331;1959748;0;678;1965396;1966074
3;1;1966080;4757;1961323;0;787;1965284;1966071
2;2;1966080;4141;1961939;0;305;1965773;1966078
6;2;1966081;4618;1961463;0;516;1965561;1966077
4;2;1966081;4259;1961822;0;405;1965669;1966074
1;2;1966080;5242;1960838;0;442;1965633;1966075
7;2;1966080;2426;1963654;0;162;1965917;1966079
5;2;1966081;4493;1961588;0;410;1965662;1966072
3;2;1966080;2565;1963515;0;162;1965917;1966079
2;3;1966080;3540;1962540;0;300;1965778;1966078
6;3;1966079;3910;1962169;0;309;1965767;1966076
4;3;1966079;3171;1962908;0;197;1965882;1966079
1;3;1966080;4726;1961354;0;340;1965734;1966074
7;3;1966080;2436;1963644;0;162;1965917;1966079
5;3;1966079;3699;1962380;0;309;1965766;1966075
3;3;1966079;2258;1963821;0;161;1965917;1966078
2;4;1966079;3119;1962960;0;197;1965880;1966077
6;4;1966081;4261;1961820;0;411;1965663;1966074
4;4;1966080;3512;1962568;0;298;1965778;1966076
1;4;1966080;5165;1960915;0;441;1965633;1966074
7;4;1966079;1979;1964100;0;59;1966019;1966078
5;4;1966081;4512;1961569;0;411;1965663;1966074
3;4;1966080;2150;1963930;0;59;1966020;1966079
2;5;1966081;3551;1962530;0;299;1965779;1966078
6;5;1966080;3977;1962103;0;310;1965767;1966077
4;5;1966081;3217;1962864;0;197;1965882;1966079
1;5;1966080;4749;1961331;0;340;1965734;1966074
7;5;1966081;2446;1963635;0;161;1965918;1966079
5;5;1966079;3674;1962405;0;309;1965766;1966075
3;5;1966080;2274;1963806;0;162;1965917;1966079
2;6;1966079;2930;1963149;0;197;1965881;1966078
6;6;1966079;3668;1962411;0;311;1965766;1966077
4;6;1966079;2971;1963108;0;198;1965882;1966080
1;6;1966080;4747;1961333;0;340;1965734;1966074
7;6;1966079;1996;1964083;0;59;1966019;1966078
5;6;1966080;3732;1962348;0;309;1965767;1966076
3;6;1966080;2030;1964050;0;59;1966020;1966079
2;7;1966080;2984;1963096;0;198;1965883;1966081
6;7;1966080;3947;1962133;0;309;1965767;1966076
4;7;1966080;2975;1963105;0;197;1965882;1966079
1;7;1966080;4959;1961121;0;442;1965633;1966075
7;7;1966080;2031;1964049;0;59;1966021;1966080
5;7;1966080;3952;1962128;0;309;1965766;1966075
3;7;1966080;2032;1964048;0;60;1966020;1966080
2;8;1966080;3519;1962561;0;300;1965779;1966079
6;8;1966080;3965;1962115;0;309;1965766;1966075
4;8;1966080;3291;1962789;0;300;1965779;1966079
1;8;1966080;4764;1961316;0;341;1965734;1966075
7;8;1966080;2412;1963668;0;162;1965917;1966079
5;8;1966080;3931;1962149;0;309;1965765;1966074
3;8;1966080;2142;1963938;0;59;1966019;1966078
2;9;1966081;3238;1962843;0;197;1965882;1966079
6;9;1966081;4110;1961971;0;414;1965666;1966080
4;9;1966081;3472;1962609;0;197;1965882;1966079
1;9;1966080;5544;1960536;0;391;1965684;1966075
7;9;1966080;2049;1964031;0;60;1966020;1966080
5;9;1966081;4876;1961205;0;463;1965613;1966076
3;9;1966081;2334;1963747;0;161;1965917;1966078
2;10;1966079;3009;1963070;0;197;1965882;1966079
6;10;1966079;3762;1962317;0;309;1965767;1966076
4;10;1966079;3005;1963074;0;197;1965882;1966079
1;10;1966080;4789;1961291;0;342;1965733;1966075
7;10;1966081;2081;1964000;0;59;1966020;1966079
5;10;1966079;3726;1962353;0;310;1965764;1966074
3;10;1966079;2028;1964051;0;59;1966019;1966078
2;11;1966080;2986;1963094;0;200;1965876;1966076
6;11;1966080;3735;1962345;0;312;1965760;1966072
4;11;1966080;2980;1963100;0;199;1965877;1966076
1;11;1966080;4821;1961259;0;347;1965730;1966077
7;11;1966079;2037;1964042;0;61;1966018;1966079
5;11;1966080;3785;1962295;0;315;1965763;1966078
3;11;1966080;2070;1964010;0;61;1966020;1966081
2;12;1966080;3036;1963044;0;200;1965879;1966079
6;12;1966080;3783;1962297;0;315;1965762;1966077
4;12;1966080;3027;1963053;0;200;1965880;1966080
1;12;1966485;4686;1961799;0;295;1966188;1966483
7;12;1966080;2079;1964001;0;60;1966020;1966080
5;12;1966080;3750;1962330;0;316;1965763;1966079
3;12;1966080;2048;1964032;0;60;1966018;1966078
2;13;1966080;3047;1963033;0;201;1965879;1966080
6;13;1966080;3795;1962285;0;313;1965761;1966074
4;13;1966080;3001;1963079;0;200;1965878;1966078
1;13;1965675;4423;1961252;0;347;1965324;1965671
7;13;1966080;2081;1963999;0;61;1966019;1966080
5;13;1966259;3790;1962469;0;314;1965941;1966255
3;13;1966080;2086;1963994;0;61;1966020;1966081
2;14;1966080;3040;1963040;0;200;1965877;1966077
6;14;1966080;3793;1962287;0;314;1965762;1966076
4;14;1966081;3066;1963015;0;200;1965878;1966078
1;14;1966080;4873;1961207;0;347;1965731;1966078
7;14;1966081;2116;1963965;0;60;1966019;1966079
5;14;1965902;3573;1962329;0;314;1965584;1965898
3;14;1966081;2119;1963962;0;60;1966019;1966079
2;15;1966080;3058;1963022;0;199;1965877;1966076
6;15;1966080;4012;1962068;0;314;1965761;1966075
4;15;1966080;3400;1962680;0;303;1965774;1966077
1;15;1966081;5496;1960585;0;449;1965626;1966075
7;15;1966079;2068;1964011;0;60;1966018;1966078
5;15;1966079;4505;1961574;0;314;1965763;1966077
3;15;1966079;2239;1963840;0;60;1966019;1966079
2;16;1966080;3277;1962803;0;201;1965877;1966078
6;16;1966081;4168;1961913;0;416;1965660;1966076
4;16;1966079;3025;1963054;0;200;1965878;1966078
1;16;1966079;5103;1960976;0;399;1965675;1966074
7;16;1966080;2109;1963971;0;60;1966020;1966080
5;16;1966080;3781;1962299;0;315;1965761;1966076
3;16;1966080;2077;1964003;0;61;1966018;1966079
2;17;1966080;3608;1962472;0;302;1965774;1966076
6;17;1966079;4057;1962022;0;314;1965763;1966077
4;17;1966080;3489;1962591;0;200;1965880;1966080
1;17;1966080;4956;1961124;0;346;1965728;1966074
7;17;1966081;2519;1963562;0;162;1965915;1966077
5;17;1966081;4211;1961870;0;415;1965660;1966075
3;17;1966081;2387;1963694;0;162;1965916;1966078
2;18;1966081;3113;1962968;0;200;1965879;1966079
6;18;1966080;3826;1962254;0;314;1965764;1966078
4;18;1966081;3102;1962979;0;201;1965879;1966080
1;18;1966080;4902;1961178;0;347;1965730;1966077
7;18;1966079;2118;1963961;0;60;1966019;1966079
5;18;1966079;3825;1962254;0;314;1965763;1966077
3;18;1966079;2129;1963950;0;60;1966019;1966079
2;19;1966079;3093;1962986;0;200;1965879;1966079
6;19;1966080;3850;1962230;0;315;1965763;1966078
4;19;1966079;3045;1963034;0;201;1965878;1966079
1;19;1966080;4880;1961200;0;346;1965728;1966074
7;19;1966080;2132;1963948;0;61;1966019;1966080
5;19;1966080;3851;1962229;0;314;1965764;1966078
3;19;1966080;2138;1963942;0;60;1966019;1966079
2;20;1966080;3061;1963019;0;200;1965878;1966078
6;20;1966080;3802;1962278;0;314;1965763;1966077
4;20;1966080;3096;1962984;0;201;1965880;1966081
1;20;1966080;4898;1961182;0;347;1965729;1966076
7;20;1966080;2139;1963941;0;60;1966019;1966079
5;20;1966080;3846;1962234;0;316;1965763;1966079
3;20;1966080;2144;1963936;0;60;1966019;1966079
2;21;1966080;3112;1962968;0;200;1965878;1966078
6;21;1966080;3874;1962206;0;316;1965764;1966080
4;21;1966080;3103;1962977;0;201;1965879;1966080
1;21;1966080;4898;1961182;0;347;1965729;1966076
7;21;1966080;2113;1963967;0;61;1966018;1966079
5;21;1966080;3869;1962211;0;315;1965762;1966077
3;21;1966080;2121;1963959;0;60;1966018;1966078
2;22;1966080;2848;1963232;0;200;1965877;1966077
6;22;1966080;3597;1962483;0;315;1965762;1966077
4;22;1966080;2803;1963277;0;201;1965876;1966077
1;22;1966080;4639;1961441;0;346;1965729;1966075
7;22;1966080;1888;1964192;0;61;1966020;1966081
5;22;1966080;3566;1962514;0;316;1965761;1966077
3;22;1966080;1892;1964188;0;60;1966020;1966080
2;23;1966080;2577;1963503;0;200;1965878;1966078
6;23;1966080;3292;1962788;0;316;1965761;1966077
4;23;1966080;2582;1963498;0;200;1965878;1966078
1;23;1966080;4374;1961706;0;346;1965728;1966074
7;23;1966080;1593;1964487;0;60;1966018;1966078
5;23;1966080;3348;1962732;0;314;1965762;1966076
3;23;1966080;1634;1964446;0;60;1966019;1966079
