id;count;total_time;CPU;LPM;DeepLPM;Radio_TX;Radio_RX;Radio_Total
2;0;1965913;119270;1846643;0;0;1965799;1965799
6;0;1965913;118916;1846997;0;0;1965799;1965799
4;0;1965913;118916;1846997;0;0;1965799;1965799
1;0;1965897;13413;1952484;0;874;104470;105344
7;0;1965913;118915;1846998;0;0;1965799;1965799
5;0;1965899;95373;1870526;0;460;1442030;1442490
3;0;1965913;119271;1846642;0;0;1965799;1965799
2;1;1966067;66472;1899595;0;815;886807;887622
6;1;1966067;81728;1884339;0;599;1159056;1159655
4;1;1966080;119466;1846614;0;0;1966080;1966080
1;1;1966080;23659;1942421;0;1044;105068;106112
7;1;1966080;119466;1846614;0;0;1966080;1966080
5;1;1966079;27561;1938518;0;1191;104817;106008
3;1;1966064;122997;1843067;0;28;1956354;1956382
2;2;1966078;26653;1939425;0;990;104914;105904
6;2;1966078;23779;1942299;0;900;104942;105842
4;2;1966080;121063;1845017;0;0;1966080;1966080
1;2;1966080;15155;1950925;0;456;105206;105662
7;2;1966066;37552;1928514;0;778;414912;415690
5;2;1966080;18186;1947894;0;633;104993;105626
3;2;1966164;22359;1943805;0;1068;104657;105725
2;3;1966080;18289;1947791;0;618;105055;105673
6;3;1966081;16212;1949869;0;477;104898;105375
4;3;1966066;42631;1923435;0;963;448450;449413
1;3;1966080;9851;1956229;0;338;105093;105431
7;3;1966179;12690;1953489;0;450;104851;105301
5;3;1966080;12682;1953398;0;391;104982;105373
3;3;1966065;25707;1940358;0;958;104991;105949
2;4;1966080;8859;1957221;0;160;105039;105199
6;4;1966079;10458;1955621;0;268;104937;105205
4;4;1966079;11653;1954426;0;333;104889;105222
1;4;1966080;7248;1958832;0;200;104809;105009
7;4;1966032;8186;1957846;0;283;104929;105212
5;4;1966182;9172;1957010;0;200;104990;105190
3;4;1966078;11687;1954391;0;391;104839;105230
2;5;1966080;12638;1953442;0;410;104831;105241
6;5;1966080;10253;1955827;0;283;104977;105260
4;5;1966080;8589;1957491;0;262;104921;105183
1;5;1966080;8619;1957461;0;262;105057;105319
7;5;1966034;6159;1959875;0;160;104929;105089
5;5;1966037;10813;1955224;0;370;104859;105229
3;5;1966049;12761;1953288;0;323;104957;105280
2;6;1966080;7793;1958287;0;160;104988;105148
6;6;1966080;10652;1955428;0;308;104848;105156
4;6;1966080;7201;1958879;0;221;104917;105138
1;6;1966080;6548;1959532;0;200;104816;105016
7;6;1966074;9634;1956440;0;323;104846;105169
5;6;1966066;8602;1957464;0;160;104982;105142
3;6;1966069;8848;1957221;0;268;104865;105133
2;7;1966080;8233;1957847;0;160;105040;105200
6;7;1966080;7481;1958599;0;160;104916;105076
4;7;1966080;9099;1956981;0;283;104986;105269
1;7;1966080;6180;1959900;0;160;104892;105052
7;7;1966080;6207;1959873;0;160;104928;105088
5;7;1966081;7616;1958465;0;160;104915;105075
3;7;1966062;10715;1955347;0;370;104852;105222
2;8;1966080;9563;1956517;0;200;104900;105100
6;8;1966080;8956;1957124;0;160;104989;105149
4;8;1966080;6751;1959329;0;160;104932;105092
1;8;1966080;8207;1957873;0;262;104868;105130
7;8;1966080;5548;1960532;0;160;104924;105084
5;8;1966062;10053;1956009;0;302;104827;105129
3;8;1966074;9329;1956745;0;200;104841;105041
2;9;1966080;8526;1957554;0;262;104837;105099
6;9;1966080;9003;1957077;0;262;104834;105096
4;9;1966147;6111;1960036;0;160;105007;105167
1;9;1966080;6696;1959384;0;160;104951;105111
7;9;1966080;7959;1958121;0;200;104915;105115
5;9;1966077;8463;1957614;0;160;104975;105135
3;9;1966080;8470;1957610;0;160;104982;105142
2;10;1966080;8905;1957175;0;160;104979;105139
6;10;1966080;7907;1958173;0;200;104892;105092
4;10;1966032;8467;1957565;0;262;104919;105181
1;10;1966080;6497;1959583;0;200;104815;105015
7;10;1966080;7610;1958470;0;262;104853;105115
5;10;1966053;8677;1957376;0;160;104917;105077
3;10;1966080;9949;1956131;0;302;104817;105119
2;11;1966080;7779;1958301;0;160;104913;105073
6;11;1966080;7727;1958353;0;160;104916;105076
4;11;1966061;6697;1959364;0;200;104849;105049
1;11;1966080;6212;1959868;0;160;104892;105052
7;11;1966080;6111;1959969;0;160;104928;105088
5;11;1966082;7831;1958251;0;160;104916;105076
3;11;1966080;7961;1958119;0;160;104913;105073
2;12;1966080;7802;1958278;0;200;104840;105040
6;12;1966092;8833;1957259;0;160;104917;105077
4;12;1966747;6317;1960430;0;160;104928;105088
1;12;1966080;7023;1959057;0;160;104885;105045
7;12;1966080;6735;1959345;0;200;104849;105049
5;12;1966080;8348;1957732;0;200;104837;105037
3;12;1966080;8135;1957945;0;160;104920;105080
2;13;1966080;7937;1958143;0;160;104913;105073
6;13;1966068;10286;1955782;0;329;104925;105254
4;13;1965413;6174;1959239;0;160;104928;105088
1;13;1966080;6469;1959611;0;181;104959;105140
7;13;1966080;8135;1957945;0;268;104947;105215
5;13;1966080;10111;1955969;0;289;104931;105220
3;13;1966080;7547;1958533;0;160;104916;105076
2;14;1966080;9940;1956140;0;289;104925;105214
6;14;1966183;8136;1958047;0;160;104993;105153
4;14;1966080;5997;1960083;0;160;105000;105160
1;14;1966080;7283;1958797;0;221;104879;105100
7;14;1966080;6808;1959272;0;200;104849;105049
5;14;1966080;8462;1957618;0;160;104926;105086
3;14;1966080;9451;1956629;0;376;104879;105255
2;15;1966080;10003;1956077;0;308;104854;105162
6;15;1966043;8772;1957271;0;181;104994;105175
4;15;1966080;10017;1956063;0;329;104873;105202
